year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1962,7.0,7.0,6.2,11.1,13.6,18.1,18.3,18.0,16.1,14.0,7.9,4.8,6.35,10.3,18.15,12.69,11.88
1963,0.4,1.6,8.8,11.7,14.3,18.5,19.1,17.7,16.8,13.8,10.5,5.0,2.31,11.61,18.44,13.66,11.56
1964,5.4,6.7,6.3,11.9,17.3,17.4,20.1,19.8,18.8,12.4,10.1,6.2,5.67,11.8,19.11,13.76,12.7
1965,5.7,5.4,8.8,11.9,15.1,18.2,17.3,18.9,15.8,14.4,7.2,7.0,5.76,11.95,18.15,12.5,12.2
1966,4.6,7.6,9.8,10.1,15.3,19.2,18.7,18.7,17.7,13.3,8.0,7.9,6.37,11.71,18.86,12.98,12.58
1967,6.4,8.0,10.1,11.2,13.8,18.5,20.9,19.6,16.9,13.5,8.3,6.5,7.41,11.73,19.68,12.94,12.86
1968,6.6,4.4,9.7,12.2,13.6,18.8,18.5,18.9,17.1,15.0,8.5,5.0,5.89,11.83,18.73,13.55,12.39
1969,7.6,3.2,6.0,11.6,14.7,18.4,21.2,19.9,17.4,16.2,8.2,5.5,5.35,10.77,19.83,13.95,12.55
1970,5.9,5.8,6.9,9.9,17.0,20.9,19.0,20.0,18.2,14.1,10.3,6.4,5.73,11.29,19.94,14.19,12.9
1971,6.7,7.5,8.0,11.0,16.0,15.9,21.6,19.3,18.8,15.2,9.2,8.5,6.82,11.67,18.93,14.39,13.16
1972,5.8,6.5,10.2,11.5,14.1,15.5,19.4,19.3,15.6,13.9,9.0,8.0,6.92,11.95,18.08,12.85,12.43
1973,6.5,7.2,10.3,10.7,15.0,19.5,19.5,20.8,18.1,12.5,9.0,7.6,7.25,12.02,19.96,13.21,13.1
1974,8.4,8.0,8.7,11.9,15.1,17.7,18.7,19.4,15.5,10.3,9.2,9.9,8.00,11.88,18.59,11.63,12.74
1975,9.0,7.3,7.4,11.7,13.5,19.6,21.5,23.3,17.3,13.3,9.1,7.3,8.77,10.85,21.5,13.23,13.4
1976,7.7,6.7,7.8,11.7,15.9,22.0,23.5,22.8,16.7,13.3,8.8,4.3,7.23,11.81,22.77,12.94,13.45
1977,4.9,7.4,9.7,10.6,14.5,16.0,19.8,19.0,16.5,14.7,8.9,8.1,5.45,11.64,18.29,13.36,12.54
1978,5.5,4.7,9.9,9.5,15.6,17.6,18.3,18.6,17.6,15.1,11.1,6.3,6.12,11.65,18.15,14.6,12.51
1979,2.7,3.3,7.4,11.0,13.8,17.9,20.3,18.7,17.4,14.5,9.7,7.9,4.14,10.74,18.97,13.85,12.1
1980,4.7,8.2,7.5,12.7,15.5,17.6,18.2,19.6,18.1,12.2,8.5,8.1,6.88,11.91,18.49,12.95,12.59
1981,7.1,5.7,10.2,11.2,14.9,16.9,19.5,20.6,18.6,11.4,10.3,3.3,7.00,12.11,19.01,13.42,12.51
1982,5.6,7.4,9.5,12.8,16.3,19.0,20.5,19.6,18.5,13.0,10.1,7.0,5.35,12.86,19.73,13.85,13.3
1983,8.9,4.2,9.3,10.4,13.4,18.1,24.2,22.0,16.9,13.6,9.8,8.2,6.78,11.05,21.49,13.44,13.32
1984,6.2,6.1,7.3,12.8,13.8,18.7,21.6,22.0,16.7,14.3,10.3,7.8,6.83,11.29,20.8,13.78,13.17
1985,3.4,5.1,8.0,11.9,14.5,16.4,20.1,18.1,18.4,14.2,6.8,8.5,5.45,11.46,18.22,13.15,12.16
1986,5.9,1.1,8.3,9.1,14.8,19.0,19.9,17.2,15.8,14.3,10.7,8.6,5.28,10.76,18.68,13.6,12.12
1987,3.0,6.5,7.1,14.0,14.1,16.3,19.7,19.5,17.5,13.0,8.8,7.8,6.01,11.71,18.52,13.1,12.3
1988,7.6,7.5,9.2,11.7,15.8,18.2,18.1,19.3,16.8,13.6,8.9,9.5,7.64,12.24,18.56,13.06,13.03
1989,8.7,9.0,10.9,9.9,18.0,19.5,23.0,21.4,18.5,15.0,9.4,7.4,9.05,12.94,21.29,14.32,14.25
1990,9.0,10.1,11.8,12.7,17.7,17.3,21.8,22.9,17.2,14.8,9.3,6.7,8.78,14.06,20.7,13.78,14.31
1991,5.8,4.6,10.9,11.5,14.5,15.8,21.3,21.7,19.2,12.9,9.3,7.3,5.73,12.31,19.63,13.81,12.96
1992,6.1,8.5,10.2,12.2,18.2,20.4,20.1,19.3,16.7,10.8,10.4,6.2,7.28,13.53,19.93,12.6,13.26
1993,8.6,6.9,10.0,12.7,15.4,19.1,19.1,18.9,15.8,11.4,7.3,7.7,7.28,12.67,19.06,11.49,12.79
1994,7.6,5.9,10.5,11.7,14.1,18.7,22.8,19.9,15.9,13.5,12.1,9.1,7.10,12.1,20.48,13.82,13.53
1995,7.4,9.1,9.0,12.8,16.2,18.3,23.3,24.3,17.3,16.3,10.4,4.6,8.50,12.7,22.02,14.69,14.12
1996,5.7,5.4,6.8,12.4,13.1,19.3,21.1,20.9,17.2,14.7,8.8,5.2,5.23,10.73,20.44,13.58,12.57
1997,4.8,9.3,11.8,13.2,16.1,17.6,21.1,23.2,18.1,13.9,11.0,8.3,6.33,13.7,20.66,14.35,14.07
1998,7.6,10.4,10.9,11.1,17.3,17.7,19.2,20.4,18.1,13.4,8.7,8.3,8.71,13.16,19.1,13.4,13.62
1999,8.3,7.8,10.5,13.2,16.9,18.0,22.3,20.3,19.7,14.1,10.3,7.4,8.16,13.51,20.22,14.72,14.1
